concept_id,icd10_code,icd10_name
201826,E11.9,"Type 2 diabetes mellitus, without complications"
315286,I25,Chronic ischemic heart disease
315286,I25,Chronic ischaemic heart disease
315286,I25.8,Other forms of chronic ischemic heart disease
315286,I25.8,Other forms of chronic ischaemic heart disease
315286,I25.89,Other forms of chronic ischemic heart disease
315286,I25.9,"Chronic ischemic heart disease, unspecified"
315286,I25.9,"Chronic ischaemic heart disease, unspecified"
319034,I11.9,Hypertensive heart disease without heart failure
319034,I11.9,Hypertensive heart disease without (congestive) heart failure
321042,I46,Cardiac arrest
321042,I46.8,Cardiac arrest due to other underlying condition
321042,I46.9,"Cardiac arrest, cause unspecified"
321042,I46.9,"Cardiac arrest, unspecified"
321042,O08.81,Cardiac arrest following an ectopic and molar pregnancy
321318,I20,Angina pectoris
321318,I20.8,Other forms of angina pectoris
321318,I20.81,Angina pectoris with coronary microvascular dysfunction
321318,I20.89,Other forms of angina pectoris
321318,I20.9,"Angina pectoris, unspecified"
321318,I25.7,Atherosclerosis of coronary artery bypass graft(s) and coronary artery of transplanted heart with angina pectoris
321318,I25.70,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris"
321318,I25.708,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris"
321318,I25.709,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris"
321318,I25.71,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris
321318,I25.718,Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris
321318,I25.719,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris
321318,I25.72,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris
321318,I25.728,Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris
321318,I25.729,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris
321318,I25.73,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris
321318,I25.738,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris
321318,I25.739,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris
321318,I25.76,Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris
321318,I25.768,Atherosclerosis of bypass graft of coronary artery of transplanted heart with other forms of angina pectoris
321318,I25.769,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris
321318,I25.79,Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris
321318,I25.798,Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris
321318,I25.799,Atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris
435220,F33.2,"Major depressive disorder, recurrent severe without psychotic features"
435220,F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms"
435243,F10.2,Alcohol dependence
435243,F10.2,"Mental and behavioural disorders due to use of alcohol, Dependence syndrome"
435243,F10.20,"Alcohol dependence, uncomplicated"
435243,F10.22,Alcohol dependence with intoxication
435243,F10.220,"Alcohol dependence with intoxication, uncomplicated"
435243,F10.221,Alcohol dependence with intoxication delirium
435243,F10.229,"Alcohol dependence with intoxication, unspecified"
435243,F10.23,Alcohol dependence with withdrawal
435243,F10.230,"Alcohol dependence with withdrawal, uncomplicated"
435243,F10.231,Alcohol dependence with withdrawal delirium
435243,F10.232,Alcohol dependence with withdrawal with perceptual disturbance
435243,F10.239,"Alcohol dependence with withdrawal, unspecified"
435243,F10.24,Alcohol dependence with alcohol-induced mood disorder
435243,F10.25,Alcohol dependence with alcohol-induced psychotic disorder
435243,F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions
435243,F10.251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
435243,F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
435243,F10.26,Alcohol dependence with alcohol-induced persisting amnestic disorder
435243,F10.27,Alcohol dependence with alcohol-induced persisting dementia
